"Variable","N","Missing","Mean","Min","Max"
"Document_Count.x",2512,0,3.28702229299363,1,257
"Cumulative_Document_Count_ToDate",2512,0,20.3960987261147,1,553
"Document_Count_Last3Years",2512,0,8.96974522292993,1,499
"Topic_Richness",2512,0,1.39928343949045,0,4
"Sector_Richness",2512,0,2.48686305732484,0,14
"Instrument_Richness",2512,0,1.44267515923567,0,5
"Cumulative_Topic_Richness",2512,0,2.59554140127389,0,4
"Recent_Topic_Richness",2512,0,1.9593949044586,0,4
"Cumulative_Sector_Richness",2512,0,7.63057324840764,0,17
"Recent_Sector_Richness",2512,0,4.45421974522293,0,16
"Cumulative_Instrument_Richness",2512,0,3.4343152866242,0,5
"Recent_Instrument_Richness",2512,0,2.27149681528662,0,5
"Cumulative_Health_Count",2512,0,0.615843949044585,0,6
"Recent_Health_Count",2512,0,0.178343949044586,0,3
"GDP_per_capita",2063,449,14976.3263956328,180.333227417157,213937.006283651
"Health_exp_per_capita",1754,758,1235.99295301372,5.31966591,10897.45019531
"Pop_65plus_percent",2088,424,9.03936715179892,0.928877108699854,37.3192825810471
"GDP_growth_rate",2063,449,3.27540613160565,-46.0821223743007,86.8267484395784
"Infant_mortality",1983,529,23.2332816741351,1.5,145.1
"Life_expectancy",1966,546,71.4042878892476,41.957,84.56
"Mortality_female",1908,604,136.972432237195,22.098,752.858
"Mortality_male",1908,604,208.063109411396,42.594,774.859
"Mortality_NCD",1419,1093,20.2513468607657,7.9,53.7
"Health_exp_percent_GDP",1755,757,6.64940894201478,1.599962,19.65816307
"Survival_to_65_female",1995,517,78.7991340785243,7.901035,96.45942
"Survival_to_65_male",1995,517,69.4070590612808,0.318736,94.176469
"Forest_area",1970,542,260072.976969543,0,5888980
"Under5_mortality",1983,529,31.665273472896,1.7,257.1
"Air_pollution_mortality",119,2393,88.2031956600583,7.4,281.2
"Suicide_mortality",1419,1093,10.2217129953938,0.2,87.6
"Neonatal_mortality",1980,532,13.6038411765736,0.8,72.4
"Unsafewater_mortality",119,2393,14.4918782888625,0.8,99.2
